"time","heart_rate"
2013-06-08 08:08:04,154
2013-06-08 08:08:05,154
2013-06-08 08:08:06,155
2013-06-08 08:08:07,115
2013-06-08 08:08:08,155
2013-06-08 08:08:09,155
2013-06-08 08:08:10,155
2013-06-08 08:08:11,155
2013-06-08 08:08:12,80
2013-06-08 08:08:13,155
2013-06-08 08:08:14,155
2013-06-08 08:08:15,155
2013-06-08 08:08:16,155
2013-06-08 08:08:17,155
2013-06-08 08:08:18,155
2013-06-08 08:08:19,155
2013-06-08 08:08:20,155
2013-06-08 08:08:21,155
2013-06-08 08:08:22,155
2013-06-08 08:08:23,155
2013-06-08 08:08:24,155
2013-06-08 08:08:25,155
2013-06-08 08:08:26,155
2013-06-08 08:08:26,155
2013-06-08 08:08:27,155
2013-06-08 08:08:28,155
2013-06-08 08:08:29,155
2013-06-08 08:08:30,155
2013-06-08 08:08:31,155
2013-06-08 08:08:32,155
2013-06-08 08:08:33,155
2013-06-08 08:08:34,155
2013-06-08 08:08:35,155
2013-06-08 08:08:36,155
2013-06-08 08:08:37,155
2013-06-08 08:08:38,155
2013-06-08 08:08:39,155
2013-06-08 08:08:40,155
2013-06-08 08:08:41,155
2013-06-08 08:08:42,155
2013-06-08 08:08:43,155
2013-06-08 08:08:44,155
2013-06-08 08:08:45,154
2013-06-08 08:08:46,154
2013-06-08 08:08:47,155
2013-06-08 08:08:48,74
2013-06-08 08:08:49,155
2013-06-08 08:08:50,155
2013-06-08 08:08:51,155
2013-06-08 08:08:52,155
2013-06-08 08:08:53,155
2013-06-08 08:08:54,155
2013-06-08 08:08:55,147
2013-06-08 08:08:56,155
2013-06-08 08:08:57,155
2013-06-08 08:08:58,155
2013-06-08 08:08:59,155
2013-06-08 08:09:00,155
2013-06-08 08:09:01,155
2013-06-08 08:09:02,83
2013-06-08 08:09:03,156
2013-06-08 08:09:04,155
2013-06-08 08:09:05,155
2013-06-08 08:09:06,156
2013-06-08 08:09:07,155
2013-06-08 08:09:08,156
2013-06-08 08:09:09,155
2013-06-08 08:09:10,155
2013-06-08 08:09:11,85
2013-06-08 08:09:12,156
2013-06-08 08:09:13,156
2013-06-08 08:09:14,156
2013-06-08 08:09:15,155
2013-06-08 08:09:16,156
2013-06-08 08:09:17,156
2013-06-08 08:09:18,156
2013-06-08 08:09:19,156
2013-06-08 08:09:20,156
2013-06-08 08:09:21,156
2013-06-08 08:09:22,156
2013-06-08 08:09:23,155
2013-06-08 08:09:24,156
2013-06-08 08:09:25,156
2013-06-08 08:09:26,156
2013-06-08 08:09:27,156
2013-06-08 08:09:28,156
2013-06-08 08:09:29,155
2013-06-08 08:09:30,155
2013-06-08 08:09:31,156
2013-06-08 08:09:32,156
2013-06-08 08:09:33,156
2013-06-08 08:09:34,156
2013-06-08 08:09:35,156
2013-06-08 08:09:36,156
2013-06-08 08:09:37,157
2013-06-08 08:09:38,156
2013-06-08 08:09:39,157
2013-06-08 08:09:40,156
2013-06-08 08:09:41,156
2013-06-08 08:09:42,157
2013-06-08 08:09:43,157
2013-06-08 08:09:44,131
2013-06-08 08:09:45,157
2013-06-08 08:09:46,157
2013-06-08 08:09:47,157
2013-06-08 08:09:48,157
2013-06-08 08:09:49,117
2013-06-08 08:09:50,157
2013-06-08 08:09:51,187
2013-06-08 08:09:52,157
2013-06-08 08:09:53,156
2013-06-08 08:09:54,156
2013-06-08 08:09:55,82
2013-06-08 08:09:56,157
2013-06-08 08:09:57,156
2013-06-08 08:09:58,156
2013-06-08 08:09:59,156
2013-06-08 08:10:00,156
2013-06-08 08:10:01,156
2013-06-08 08:10:02,156
2013-06-08 08:10:03,157
2013-06-08 08:10:04,151
2013-06-08 08:10:05,157
2013-06-08 08:10:06,156
2013-06-08 08:10:07,157
2013-06-08 08:10:08,157
2013-06-08 08:10:09,191
2013-06-08 08:10:10,157
2013-06-08 08:10:11,157
2013-06-08 08:10:12,157
2013-06-08 08:10:13,157
2013-06-08 08:10:14,157
2013-06-08 08:10:15,174
2013-06-08 08:10:16,157
2013-06-08 08:10:17,157
2013-06-08 08:10:18,157
2013-06-08 08:10:19,156
2013-06-08 08:10:20,157
2013-06-08 08:10:21,188
2013-06-08 08:10:22,157
2013-06-08 08:10:23,157
2013-06-08 08:10:24,156
2013-06-08 08:10:25,156
2013-06-08 08:10:26,156
2013-06-08 08:10:27,156
2013-06-08 08:10:28,156
2013-06-08 08:10:29,156
2013-06-08 08:10:30,156
2013-06-08 08:10:31,157
2013-06-08 08:10:32,157
2013-06-08 08:10:33,157
2013-06-08 08:10:34,156
2013-06-08 08:10:35,157
2013-06-08 08:10:36,157
2013-06-08 08:10:37,156
2013-06-08 08:10:38,156
2013-06-08 08:10:39,156
2013-06-08 08:10:40,156
2013-06-08 08:10:41,156
2013-06-08 08:10:42,157
2013-06-08 08:10:43,157
2013-06-08 08:10:44,156
2013-06-08 08:10:45,156
2013-06-08 08:10:46,156
2013-06-08 08:10:47,156
2013-06-08 08:10:48,157
2013-06-08 08:10:49,157
2013-06-08 08:10:50,157
2013-06-08 08:10:51,157
2013-06-08 08:10:52,157
2013-06-08 08:10:53,156
2013-06-08 08:10:54,157
2013-06-08 08:10:55,156
2013-06-08 08:10:56,156
2013-06-08 08:10:57,156
2013-06-08 08:10:58,157
2013-06-08 08:10:59,156
2013-06-08 08:11:00,156
2013-06-08 08:11:01,156
2013-06-08 08:11:02,156
2013-06-08 08:11:03,156
2013-06-08 08:11:04,157
2013-06-08 08:11:05,157
2013-06-08 08:11:06,157
2013-06-08 08:11:07,157
2013-06-08 08:11:08,157
2013-06-08 08:11:09,158
2013-06-08 08:11:10,158
2013-06-08 08:11:11,157
2013-06-08 08:11:12,157
2013-06-08 08:11:13,157
2013-06-08 08:11:14,157
2013-06-08 08:11:15,157
2013-06-08 08:11:16,157
2013-06-08 08:11:17,158
2013-06-08 08:11:18,158
2013-06-08 08:11:19,157
2013-06-08 08:11:20,157
2013-06-08 08:11:21,157
2013-06-08 08:11:22,158
2013-06-08 08:11:23,158
2013-06-08 08:11:24,158
2013-06-08 08:11:25,157
2013-06-08 08:11:26,157
2013-06-08 08:11:27,143
2013-06-08 08:11:28,157
2013-06-08 08:11:29,158
2013-06-08 08:11:30,161
2013-06-08 08:11:31,158
2013-06-08 08:11:32,158
2013-06-08 08:11:33,158
2013-06-08 08:11:34,158
2013-06-08 08:11:35,123
2013-06-08 08:11:36,157
2013-06-08 08:11:37,157
2013-06-08 08:11:38,158
2013-06-08 08:11:39,157
2013-06-08 08:11:40,157
2013-06-08 08:11:41,157
2013-06-08 08:11:42,157
2013-06-08 08:11:43,94
2013-06-08 08:11:44,158
2013-06-08 08:11:45,158
2013-06-08 08:11:46,158
2013-06-08 08:11:47,158
2013-06-08 08:11:48,158
2013-06-08 08:11:49,158
2013-06-08 08:11:50,157
2013-06-08 08:11:51,157
2013-06-08 08:11:52,126
2013-06-08 08:11:53,174
2013-06-08 08:11:54,158
2013-06-08 08:11:55,158
2013-06-08 08:11:56,158
2013-06-08 08:11:57,158
2013-06-08 08:11:58,158
2013-06-08 08:11:59,153
2013-06-08 08:12:00,158
2013-06-08 08:12:01,158
2013-06-08 08:12:02,158
2013-06-08 08:12:03,158
2013-06-08 08:12:04,158
2013-06-08 08:12:05,158
2013-06-08 08:12:06,158
2013-06-08 08:12:07,158
2013-06-08 08:12:08,158
2013-06-08 08:12:09,158
2013-06-08 08:12:10,158
2013-06-08 08:12:11,158
2013-06-08 08:12:12,158
2013-06-08 08:12:13,158
2013-06-08 08:12:14,158
2013-06-08 08:12:15,158
2013-06-08 08:12:16,158
2013-06-08 08:12:17,158
2013-06-08 08:12:18,158
2013-06-08 08:12:19,158
2013-06-08 08:12:20,158
2013-06-08 08:12:21,158
2013-06-08 08:12:21,158
2013-06-08 08:12:22,158
2013-06-08 08:12:23,157
2013-06-08 08:12:24,158
2013-06-08 08:12:25,157
2013-06-08 08:12:26,158
2013-06-08 08:12:27,158
2013-06-08 08:12:28,158
2013-06-08 08:12:29,242
2013-06-08 08:12:30,158
2013-06-08 08:12:31,158
2013-06-08 08:12:32,166
2013-06-08 08:12:33,158
2013-06-08 08:12:34,158
2013-06-08 08:12:35,158
2013-06-08 08:12:36,158
2013-06-08 08:12:37,158
2013-06-08 08:12:38,158
2013-06-08 08:12:39,158
2013-06-08 08:12:40,158
2013-06-08 08:12:41,158
2013-06-08 08:12:42,158
2013-06-08 08:12:43,159
2013-06-08 08:12:44,143
2013-06-08 08:12:45,158
2013-06-08 08:12:46,158
2013-06-08 08:12:47,158
2013-06-08 08:12:48,158
2013-06-08 08:12:49,159
2013-06-08 08:12:50,159
2013-06-08 08:12:51,159
2013-06-08 08:12:52,159
2013-06-08 08:12:53,159
2013-06-08 08:12:54,159
2013-06-08 08:12:55,159
2013-06-08 08:12:56,159
2013-06-08 08:12:57,159
2013-06-08 08:12:58,159
2013-06-08 08:12:59,158
2013-06-08 08:13:00,158
2013-06-08 08:13:01,159
2013-06-08 08:13:02,158
2013-06-08 08:13:03,209
2013-06-08 08:13:04,159
2013-06-08 08:13:05,158
2013-06-08 08:13:06,159
2013-06-08 08:13:07,159
2013-06-08 08:13:08,131
2013-06-08 08:13:09,159
2013-06-08 08:13:10,178
2013-06-08 08:13:11,159
2013-06-08 08:13:12,159
2013-06-08 08:13:13,159
2013-06-08 08:13:14,159
2013-06-08 08:13:15,159
2013-06-08 08:13:16,159
2013-06-08 08:13:17,159
